Date : 2025-11-01 00:00:00
Directory : /home/ash/FriendshipApp/FriendshipApp1
Total : 137 files,  3893 codes, 222 comments, 542 blanks, all 4657 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| TypeScript |         52 |      1,598 |        145 |        247 |      1,990 |
| C#         |         43 |      1,122 |          0 |        182 |      1,304 |
| HTML       |         21 |        955 |          0 |         61 |      1,016 |
| PostCSS    |         21 |        218 |         77 |         52 |        347 |
+------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                         | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                            |        137 |      3,893 |        222 |        542 |      4,657 |
| API                                                                                                          |         43 |      1,122 |          0 |        182 |      1,304 |
| API/Controllers                                                                                              |          7 |        422 |          0 |        105 |        527 |
| API/DTOs                                                                                                     |          9 |        148 |          0 |         17 |        165 |
| API/Entities                                                                                                 |          6 |        102 |          0 |         11 |        113 |
| API/Errors                                                                                                   |          1 |         19 |          0 |          2 |         21 |
| API/Extensions                                                                                               |          5 |        137 |          0 |         15 |        152 |
| API/Helpers                                                                                                  |          9 |        170 |          0 |         18 |        188 |
| API/Interfaces                                                                                               |          5 |         80 |          0 |          5 |         85 |
| API/Middleware                                                                                               |          1 |         44 |          0 |          9 |         53 |
| client                                                                                                       |         94 |      2,771 |        222 |        360 |      3,353 |
| client/src                                                                                                   |         94 |      2,771 |        222 |        360 |      3,353 |
| client/src (Files)                                                                                           |          5 |        177 |        136 |         37 |        350 |
| client/src/app                                                                                               |         87 |      2,586 |         75 |        319 |      2,980 |
| client/src/app (Files)                                                                                       |          6 |        260 |          0 |         18 |        278 |
| client/src/app/_directives                                                                                   |          1 |         38 |          0 |          3 |         41 |
| client/src/app/_forms                                                                                        |          6 |         84 |          0 |         12 |         96 |
| client/src/app/_forms/date-input                                                                             |          3 |         39 |          0 |          4 |         43 |
| client/src/app/_forms/text-input                                                                             |          3 |         45 |          0 |          8 |         53 |
| client/src/app/_guards                                                                                       |          3 |         79 |          0 |          8 |         87 |
| client/src/app/_inerceptors                                                                                  |          3 |        127 |          0 |         13 |        140 |
| client/src/app/_models                                                                                       |          5 |         51 |          0 |          7 |         58 |
| client/src/app/_modules                                                                                      |          2 |         41 |          0 |          5 |         46 |
| client/src/app/_pipes                                                                                        |          1 |         30 |          0 |          7 |         37 |
| client/src/app/_resolvers                                                                                    |          1 |         14 |          0 |          3 |         17 |
