"filename", "language", "TypeScript", "PostCSS", "HTML", "C#", "comment", "blank", "total"
"/home/ash/FriendshipApp/FriendshipApp1/API/Controllers/AccountController.cs", "C#", 0, 0, 0, 71, 0, 18, 89
"/home/ash/FriendshipApp/FriendshipApp1/API/Controllers/AdminController.cs", "C#", 0, 0, 0, 56, 0, 13, 69
"/home/ash/FriendshipApp/FriendshipApp1/API/Controllers/BaseApiController.cs", "C#", 0, 0, 0, 17, 0, 2, 19
"/home/ash/FriendshipApp/FriendshipApp1/API/Controllers/BuggyController.cs", "C#", 0, 0, 0, 46, 0, 7, 53
"/home/ash/FriendshipApp/FriendshipApp1/API/Controllers/LikesController.cs", "C#", 0, 0, 0, 51, 0, 13, 64
"/home/ash/FriendshipApp/FriendshipApp1/API/Controllers/MessagesController.cs", "C#", 0, 0, 0, 75, 0, 24, 99
"/home/ash/FriendshipApp/FriendshipApp1/API/Controllers/UsersController.cs", "C#", 0, 0, 0, 105, 0, 28, 133
"/home/ash/FriendshipApp/FriendshipApp1/API/DTOs/CreateMessageDto.cs", "C#", 0, 0, 0, 12, 0, 1, 13
"/home/ash/FriendshipApp/FriendshipApp1/API/DTOs/LikeDto.cs", "C#", 0, 0, 0, 16, 0, 1, 17
"/home/ash/FriendshipApp/FriendshipApp1/API/DTOs/LoginDto.cs", "C#", 0, 0, 0, 12, 0, 1, 13
"/home/ash/FriendshipApp/FriendshipApp1/API/DTOs/MemberDto.cs", "C#", 0, 0, 0, 24, 0, 2, 26
"/home/ash/FriendshipApp/FriendshipApp1/API/DTOs/MemberUpdateDTO.cs", "C#", 0, 0, 0, 15, 0, 1, 16
"/home/ash/FriendshipApp/FriendshipApp1/API/DTOs/MessageDto.cs", "C#", 0, 0, 0, 20, 0, 1, 21
"/home/ash/FriendshipApp/FriendshipApp1/API/DTOs/PhotoDto.cs", "C#", 0, 0, 0, 13, 0, 1, 14
"/home/ash/FriendshipApp/FriendshipApp1/API/DTOs/RegisterDto.cs", "C#", 0, 0, 0, 21, 0, 7, 28
"/home/ash/FriendshipApp/FriendshipApp1/API/DTOs/UserDto.cs", "C#", 0, 0, 0, 15, 0, 2, 17
"/home/ash/FriendshipApp/FriendshipApp1/API/Entities/AppRole.cs", "C#", 0, 0, 0, 12, 0, 1, 13
"/home/ash/FriendshipApp/FriendshipApp1/API/Entities/AppUser.cs", "C#", 0, 0, 0, 23, 0, 4, 27
"/home/ash/FriendshipApp/FriendshipApp1/API/Entities/AppUserRole.cs", "C#", 0, 0, 0, 13, 0, 1, 14
